SearchName,DatFile,JobID,NumberOfSpectra,NumberOfSpectraOver25,Over25inPercent,Comment
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258277.dat,258277,27583,16847,61.08,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258278.dat,258278,34335,11496,33.48,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258279.dat,258279,34751,10684,30.74,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258280.dat,258280,34433,11170,32.44,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258281.dat,258281,34467,10094,29.29,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258282.dat,258282,27583,16918,61.33,Best result from fbdm
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258283.dat,258283,34335,11476,33.42,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258284.dat,258284,34751,10693,30.77,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258285.dat,258285,34433,11175,32.45,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258286.dat,258286,34467,10118,29.36,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258287.dat,258287,27583,16802,60.91,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258288.dat,258288,34335,11452,33.35,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258289.dat,258289,34751,10632,30.59,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258290.dat,258290,34433,11123,32.3,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258291.dat,258291,34467,10050,29.16,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010_04_TP_HeLa_200ng.mgf_deisotoped,F258292.dat,258292,27583,16874,61.18
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_11_Mix1a_1_DDA.mgf_deisotoped,F258293.dat,258293,34335,11317,32.96
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_14_Mix1b_1_DDA.mgf_deisotoped,F258294.dat,258294,34751,10569,30.41
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_20_Mix1a_2_DDA.mgf_deisotoped,F258295.dat,258295,34433,11031,32.04
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_22_Mix1b_2_DDA.mgf_deisotoped,F258296.dat,258296,34467,9959,28.89
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010_04_TP_HeLa_200ng.mgf_deisotoped,F258297.dat,258297,27583,16916,61.33
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_11_Mix1a_1_DDA.mgf_deisotoped,F258299.dat,258299,34335,11449,33.34
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_14_Mix1b_1_DDA.mgf_deisotoped,F258301.dat,258301,34751,10668,30.70
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_20_Mix1a_2_DDA.mgf_deisotoped,F258302.dat,258302,34433,11161,32.41
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA_pd/20161201_22_Mix1b_2_DDA.mgf_deisotoped,F258303.dat,258303,34467,10101,29.31
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010_04_TP_HeLa_200ng.mgf_deisotoped,F258306.dat,258306,27583,16920,61.34
